name,recovery,air_water,uhab,tmt_temp,rep,alive,dead,TIMESURV
Water.Solitary.day.A,day,Water,Solitary,18,A,1,0,1
Water.Solitary.day.B,day,Water,Solitary,18,B,1,0,1
Water.Solitary.day.A,day,Water,Solitary,32,A,1,0,1
Water.Solitary.day.B,day,Water,Solitary,32,B,1,0,1
Water.Solitary.day.A,day,Water,Solitary,36,A,0,1,1
Water.Solitary.day.B,day,Water,Solitary,36,B,0,1,1
Water.Solitary.day.A,day,Water,Solitary,40,A,0,1,1
Water.Solitary.day.B,day,Water,Solitary,40,B,0,1,1
Water.Solitary.week.A,week,Water,Solitary,18,A,1,0,7
Water.Solitary.week.B,week,Water,Solitary,18,B,1,0,7
Water.Solitary.week.A,week,Water,Solitary,32,A,0,1,7
Water.Solitary.week.B,week,Water,Solitary,32,B,1,0,7
Water.Solitary.week.A,week,Water,Solitary,36,A,0,1,7
Water.Solitary.week.B,week,Water,Solitary,36,B,0,1,7
Water.Solitary.week.A,week,Water,Solitary,40,A,0,1,7
Water.Solitary.week.B,week,Water,Solitary,40,B,0,1,7
Water.Solitary.biweek.A,biweek,Water,Solitary,18,A,1,0,14
Water.Solitary.biweek.B,biweek,Water,Solitary,18,B,1,0,14
Water.Solitary.biweek.A,biweek,Water,Solitary,32,A,0,1,14
Water.Solitary.biweek.B,biweek,Water,Solitary,32,B,1,0,14
Water.Solitary.biweek.A,biweek,Water,Solitary,36,A,0,1,14
Water.Solitary.biweek.B,biweek,Water,Solitary,36,B,0,1,14
Water.Solitary.biweek.A,biweek,Water,Solitary,40,A,0,1,14
Water.Solitary.biweek.B,biweek,Water,Solitary,40,B,0,1,14
Water.Solitary.triweek.A,triweek,Water,Solitary,18,A,1,0,21
Water.Solitary.triweek.B,triweek,Water,Solitary,18,B,1,0,21
Water.Solitary.triweek.A,triweek,Water,Solitary,32,A,1,0,21
Water.Solitary.triweek.B,triweek,Water,Solitary,32,B,0,1,21
Water.Solitary.triweek.A,triweek,Water,Solitary,36,A,0,1,21
Water.Solitary.triweek.B,triweek,Water,Solitary,36,B,0,1,21
Water.Solitary.triweek.A,triweek,Water,Solitary,40,A,0,1,21
Water.Solitary.triweek.B,triweek,Water,Solitary,40,B,0,1,21
Water.TP.day.A,day,Water,TP,18,A,1,0,1
Water.TP.day.B,day,Water,TP,18,B,1,0,1
Water.TP.day.A,day,Water,TP,32,A,1,0,1
Water.TP.day.B,day,Water,TP,32,B,1,0,1
Water.TP.day.A,day,Water,TP,36,A,0,1,1
Water.TP.day.B,day,Water,TP,36,B,0,1,1
Water.TP.day.A,day,Water,TP,40,A,0,1,1
Water.TP.day.B,day,Water,TP,40,B,0,1,1
Water.TP.week.A,week,Water,TP,18,A,1,0,7
Water.TP.week.B,week,Water,TP,18,B,1,0,7
Water.TP.week.A,week,Water,TP,32,A,0,1,7
Water.TP.week.B,week,Water,TP,32,B,0,1,7
Water.TP.week.A,week,Water,TP,36,A,0,1,7
Water.TP.week.B,week,Water,TP,36,B,0,1,7
Water.TP.week.A,week,Water,TP,40,A,0,1,7
Water.TP.week.B,week,Water,TP,40,B,0,1,7
Water.TP.biweek.A,biweek,Water,TP,18,A,1,0,14
Water.TP.biweek.B,biweek,Water,TP,18,B,1,0,14
Water.TP.biweek.A,biweek,Water,TP,32,A,1,0,14
Water.TP.biweek.B,biweek,Water,TP,32,B,1,0,14
Water.TP.biweek.A,biweek,Water,TP,36,A,0,1,14
Water.TP.biweek.B,biweek,Water,TP,36,B,0,1,14
Water.TP.biweek.A,biweek,Water,TP,40,A,0,1,14
Water.TP.biweek.B,biweek,Water,TP,40,B,0,1,14
Water.TP.triweek.A,triweek,Water,TP,18,A,1,0,21
Water.TP.triweek.B,triweek,Water,TP,18,B,1,0,21
Water.TP.triweek.A,triweek,Water,TP,32,A,1,0,21
Water.TP.triweek.B,triweek,Water,TP,32,B,0,1,21
Water.TP.triweek.A,triweek,Water,TP,36,A,0,1,21
Water.TP.triweek.B,triweek,Water,TP,36,B,0,1,21
Water.TP.triweek.A,triweek,Water,TP,40,A,0,1,21
Water.TP.triweek.B,triweek,Water,TP,40,B,0,1,21
Air.Solitary.day.A,day,Air,Solitary,18,A,1,0,1
Air.Solitary.day.B,day,Air,Solitary,18,B,1,0,1
Air.Solitary.day.A,day,Air,Solitary,32,A,1,0,1
Air.Solitary.day.B,day,Air,Solitary,32,B,1,0,1
Air.Solitary.day.A,day,Air,Solitary,36,A,0,1,1
Air.Solitary.day.B,day,Air,Solitary,36,B,0,1,1
Air.Solitary.day.A,day,Air,Solitary,40,A,0,1,1
Air.Solitary.day.B,day,Air,Solitary,40,B,0,1,1
Air.Solitary.week.A,week,Air,Solitary,18,A,1,0,7
Air.Solitary.week.B,week,Air,Solitary,18,B,1,0,7
Air.Solitary.week.A,week,Air,Solitary,32,A,1,0,7
Air.Solitary.week.B,week,Air,Solitary,32,B,1,0,7
Air.Solitary.week.A,week,Air,Solitary,36,A,0,1,7
Air.Solitary.week.B,week,Air,Solitary,36,B,0,1,7
Air.Solitary.week.A,week,Air,Solitary,40,A,0,1,7
Air.Solitary.week.B,week,Air,Solitary,40,B,0,1,7
Air.Solitary.biweek.A,biweek,Air,Solitary,18,A,1,0,14
Air.Solitary.biweek.B,biweek,Air,Solitary,18,B,1,0,14
Air.Solitary.biweek.A,biweek,Air,Solitary,32,A,1,0,14
Air.Solitary.biweek.B,biweek,Air,Solitary,32,B,1,0,14
Air.Solitary.biweek.A,biweek,Air,Solitary,36,A,0,1,14
Air.Solitary.biweek.B,biweek,Air,Solitary,36,B,0,1,14
Air.Solitary.biweek.A,biweek,Air,Solitary,40,A,0,1,14
Air.Solitary.biweek.B,biweek,Air,Solitary,40,B,0,1,14
Air.Solitary.triweek.A,triweek,Air,Solitary,18,A,1,0,21
Air.Solitary.triweek.B,triweek,Air,Solitary,18,B,1,0,21
Air.Solitary.triweek.A,triweek,Air,Solitary,32,A,0,1,21
Air.Solitary.triweek.B,triweek,Air,Solitary,32,B,0,1,21
Air.Solitary.triweek.A,triweek,Air,Solitary,36,A,0,1,21
Air.Solitary.triweek.B,triweek,Air,Solitary,36,B,0,1,21
Air.Solitary.triweek.A,triweek,Air,Solitary,40,A,0,1,21
Air.Solitary.triweek.B,triweek,Air,Solitary,40,B,0,1,21
Air.TP.day.A,day,Air,TP,18,A,1,0,1
Air.TP.day.B,day,Air,TP,18,B,1,0,1
Air.TP.day.A,day,Air,TP,32,A,1,0,1
Air.TP.day.B,day,Air,TP,32,B,1,0,1
Air.TP.day.A,day,Air,TP,36,A,0,1,1
Air.TP.day.B,day,Air,TP,36,B,0,1,1
Air.TP.day.A,day,Air,TP,40,A,0,1,1
Air.TP.day.B,day,Air,TP,40,B,0,1,1
Air.TP.week.A,week,Air,TP,18,A,1,0,7
Air.TP.week.B,week,Air,TP,18,B,1,0,7
Air.TP.week.A,week,Air,TP,32,A,1,0,7
Air.TP.week.B,week,Air,TP,32,B,1,0,7
Air.TP.week.A,week,Air,TP,36,A,0,1,7
Air.TP.week.B,week,Air,TP,36,B,0,1,7
Air.TP.week.A,week,Air,TP,40,A,0,1,7
Air.TP.week.B,week,Air,TP,40,B,0,1,7
Air.TP.biweek.A,biweek,Air,TP,18,A,1,0,14
Air.TP.biweek.B,biweek,Air,TP,18,B,1,0,14
Air.TP.biweek.A,biweek,Air,TP,32,A,1,0,14
Air.TP.biweek.B,biweek,Air,TP,32,B,0,1,14
Air.TP.biweek.A,biweek,Air,TP,36,A,0,1,14
Air.TP.biweek.B,biweek,Air,TP,36,B,0,1,14
Air.TP.biweek.A,biweek,Air,TP,40,A,0,1,14
Air.TP.biweek.B,biweek,Air,TP,40,B,0,1,14
Air.TP.triweek.A,triweek,Air,TP,18,A,1,0,21
Air.TP.triweek.B,triweek,Air,TP,18,B,1,0,21
Air.TP.triweek.A,triweek,Air,TP,32,A,1,0,21
Air.TP.triweek.B,triweek,Air,TP,32,B,0,1,21
Air.TP.triweek.A,triweek,Air,TP,36,A,0,1,21
Air.TP.triweek.B,triweek,Air,TP,36,B,0,1,21
Air.TP.triweek.A,triweek,Air,TP,40,A,0,1,21
Air.TP.triweek.B,triweek,Air,TP,40,B,0,1,21
Water.Solitary.day.C,day,Water,Solitary,18,C,1,0,1
Water.Solitary.day.C,day,Water,Solitary,32,C,1,0,1
Water.Solitary.day.C,day,Water,Solitary,36,C,0,1,1
Water.Solitary.day.C,day,Water,Solitary,40,C,0,1,1
Water.Solitary.week.C,week,Water,Solitary,18,C,1,0,7
Water.Solitary.week.C,week,Water,Solitary,32,C,1,0,7
Water.Solitary.week.C,week,Water,Solitary,36,C,0,1,7
Water.Solitary.week.C,week,Water,Solitary,40,C,0,1,7
Water.Solitary.biweek.C,biweek,Water,Solitary,18,C,1,0,14
Water.Solitary.biweek.C,biweek,Water,Solitary,32,C,1,0,14
Water.Solitary.biweek.C,biweek,Water,Solitary,36,C,0,1,14
Water.Solitary.biweek.C,biweek,Water,Solitary,40,C,0,1,14
Water.Solitary.triweek.C,triweek,Water,Solitary,18,C,1,0,21
Water.Solitary.triweek.C,triweek,Water,Solitary,32,C,1,0,21
Water.Solitary.triweek.C,triweek,Water,Solitary,36,C,0,1,21
Water.Solitary.triweek.C,triweek,Water,Solitary,40,C,0,1,21
Water.TP.day.C,day,Water,TP,18,C,1,0,1
Water.TP.day.C,day,Water,TP,32,C,1,0,1
Water.TP.day.C,day,Water,TP,36,C,0,1,1
Water.TP.day.C,day,Water,TP,40,C,0,1,1
Water.TP.week.C,week,Water,TP,18,C,1,0,7
Water.TP.week.C,week,Water,TP,32,C,0,1,7
Water.TP.week.C,week,Water,TP,36,C,0,1,7
Water.TP.week.C,week,Water,TP,40,C,0,1,7
Water.TP.biweek.C,biweek,Water,TP,18,C,1,0,14
