time,air.water,sol.tp,temp,num.live,num.total,prop.surv
1,Air,Solitary,18,3,3,1
7,Air,Solitary,18,3,3,1
14,Air,Solitary,18,3,3,1
21,Air,Solitary,18,3,3,1
1,Air,Solitary,32,3,3,1
7,Air,Solitary,32,3,3,1
14,Air,Solitary,32,3,3,1
21,Air,Solitary,32,1,3,0.333333333
1,Air,Solitary,36,0,3,0
7,Air,Solitary,36,0,3,0
14,Air,Solitary,36,0,3,0
21,Air,Solitary,36,0,3,0
1,Air,Solitary,40,0,3,0
7,Air,Solitary,40,0,3,0
14,Air,Solitary,40,0,3,0
21,Air,Solitary,40,0,3,0
1,Air,TP,18,3,3,1
7,Air,TP,18,3,3,1
14,Air,TP,18,3,3,1
21,Air,TP,18,3,3,1
1,Air,TP,32,3,3,1
7,Air,TP,32,3,3,1
14,Air,TP,32,2,3,0.666666667
21,Air,TP,32,2,3,0.666666667
1,Air,TP,36,0,3,0
7,Air,TP,36,0,3,0
14,Air,TP,36,0,3,0
21,Air,TP,36,0,3,0
1,Air,TP,40,0,3,0
7,Air,TP,40,0,3,0
14,Air,TP,40,0,3,0
21,Air,TP,40,0,3,0
1,Water,Solitary,18,3,3,1
7,Water,Solitary,18,3,3,1
14,Water,Solitary,18,3,3,1
21,Water,Solitary,18,3,3,1
1,Water,Solitary,32,3,3,1
7,Water,Solitary,32,2,3,0.666666667
14,Water,Solitary,32,2,3,0.666666667
21,Water,Solitary,32,2,3,0.666666667
1,Water,Solitary,36,0,3,0
7,Water,Solitary,36,0,3,0
14,Water,Solitary,36,0,3,0
21,Water,Solitary,36,0,3,0
1,Water,Solitary,40,0,3,0
7,Water,Solitary,40,0,3,0
14,Water,Solitary,40,0,3,0
21,Water,Solitary,40,0,3,0
1,Water,TP,18,3,3,1
7,Water,TP,18,3,3,1
14,Water,TP,18,3,3,1
21,Water,TP,18,3,3,1
1,Water,TP,32,3,3,1
7,Water,TP,32,0,3,0
14,Water,TP,32,3,3,1
21,Water,TP,32,2,3,0.666666667
1,Water,TP,36,0,3,0
7,Water,TP,36,0,3,0
14,Water,TP,36,0,3,0
21,Water,TP,36,0,3,0
1,Water,TP,40,0,3,0
7,Water,TP,40,0,3,0
14,Water,TP,40,0,3,0
21,Water,TP,40,0,3,0
